source,target
0,10
0,14
0,15
0,40
0,42
0,47
1,17
1,19
1,26
1,27
1,28
1,36
1,41
1,54
1,61
2,18
2,37
2,44
2,46
2,47
2,50
2,52
2,58
3,4
3,10
3,26
3,28
3,30
3,42
3,43
3,44
3,50
3,51
4,10
4,26
4,28
4,30
4,42
4,50
4,51
5,6
5,35
5,38
5,59
6,35
6,38
6,44
6,59
7,17
7,25
7,54
8,16
8,41
9,17
9,26
9,27
9,28
9,36
9,54
10,26
10,28
10,30
10,42
10,44
11,16
11,21
11,29
11,30
11,45
11,51
12,15
12,23
12,32
12,41
12,53
12,54
12,57
13,16
13,17
13,36
13,61
14,21
14,32
14,41
14,53
14,54
14,57
15,40
15,42
15,47
16,29
16,30
16,45
16,51
17,25
17,54
18,37
18,44
18,46
18,50
18,52
18,58
19,27
19,61
20,28
20,55
20,58
21,29
21,45
21,51
22,25
22,26
22,39
22,55
23,32
23,41
23,53
23,57
24,26
24,27
24,30
24,36
24,39
24,43
24,51
24,61
25,54
26,27
26,28
26,36
26,43
26,51
26,61
27,28
27,36
27,61
28,43
28,51
29,45
30,43
30,44
30,51
31,54
31,57
31,60
32,41
32,53
32,57
33,37
33,46
33,50
33,52
33,58
34,37
34,46
34,50
34,52
34,58
35,38
35,44
35,59
36,39
36,51
36,61
37,44
37,46
37,50
37,52
37,58
38,44
38,59
39,51
39,61
40,47
41,53
41,54
43,51
43,61
44,46
44,50
44,52
44,58
44,59
46,50
46,52
46,58
49,55
50,52
50,58
52,58
54,57
